Removed Pin From Net: NetName=VM Pin=C6-1
Removed Pin From Net: NetName=GND Pin=C6-2
Removed Member From Class: ClassName=drv8886_breakout Member=C6
Change Component Footprint: Designator=C3 Old Footprint=PNSC-FK-V-H13_V New Footprint=PNSC-EEEFK1C101P_L
Change Component Comment : Designator=C7 Old Comment=06033C474KAT2A New Comment=0.47uF
Change Component Comment : Designator=C8 Old Comment=06033C474KAT2A New Comment=0.47uF
Change Component Comment : Designator=C4 Old Comment=C0603X103K5RACTU New Comment=0.01uF
Change Component Comment : Designator=C2 Old Comment=C0805C224K5RAC7800 New Comment=0.22uF
Change Component Comment : Designator=R1 Old Comment=CRCW08050000Z0EA New Comment=5k
Change Component Comment : Designator=R2 Old Comment=CRCW08050000Z0EA New Comment=15k
Change Component Comment : Designator=C3 Old Comment=EEVFK1J221Q New Comment=100uF
Change Component Comment : Designator=C5 Old Comment=GRM32ER60J107ME20L New Comment=0.01uF
Change Component Comment : Designator=C1 Old Comment=GRM155R71E223KA61D New Comment=0.022uF
Change component parameters: Designator = "C3"; Footprint = "PNSC-EEEFK1C101P_L"; UniqueID = "\KSNAXXXT"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Capacitance"; Value = "100µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Size/Dimension"; Value = "Ø6.3x5.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "http://datasheet.octopart.com/EEEFK1C101P-Panasonic-datasheet-13266987.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "11/2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Impedance"; Value = "0.36O"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifetime@Temperature"; Value = "2000Hrs@105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.panasonic.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temp-Max"; Value = "105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temp Range"; Value = "-55to+105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 6.6 x 6.6 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "EEEFK1C101P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "16V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ripple Current"; Value = "240mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "FK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Can"; VariantName = "[No Variations]"
Added Component: Designator=P4(TECO-5-146280-2_V)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Approvals"; Value = "CSA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Board Standoff"; Value = "No(Without)"; VariantName = "[No Variations]"
